filepath,filename,true_label_id,true_label_name,predicted_label_id,predicted_label_name,predicted_confidence,true_label_probability,brown_anole_probability,green_anole_probability,brown_green_probability_gap,brown_green_probability_sum,brown_green_confusion,correct,oof_fold,review_reason
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Anolis_carolinensis_17.jpg,Brown_anole_Anolis_carolinensis_17.jpg,1,Brown_anole,4,Green_anole,0.9450427,0.041395556,0.041395556,0.9450427,-0.9036472,0.9864383,True,False,3,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_183.jpg,Green_anole_Green_anole_183.jpg,4,Green_anole,1,Brown_anole,0.9210048,0.07392816,0.9210048,0.07392816,0.8470766,0.99493295,True,False,1,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Anolis_carolinensis_3.jpg,Brown_anole_Anolis_carolinensis_3.jpg,1,Brown_anole,4,Green_anole,0.894549,0.025977932,0.025977932,0.894549,-0.8685711,0.9205269,True,False,1,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Anolis_carolinensis_1.jpg,Brown_anole_Anolis_carolinensis_1.jpg,1,Brown_anole,4,Green_anole,0.87473106,0.06336713,0.06336713,0.87473106,-0.81136394,0.9380982,True,False,3,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_73.jpg,Green_anole_Green_anole_73.jpg,4,Green_anole,1,Brown_anole,0.8651507,0.09263666,0.8651507,0.09263666,0.77251405,0.95778733,True,False,2,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Anolis_carolinensis_20.jpg,Brown_anole_Anolis_carolinensis_20.jpg,1,Brown_anole,4,Green_anole,0.8495853,0.14563566,0.14563566,0.8495853,-0.70394963,0.99522096,True,False,1,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_139.jpg,Green_anole_Green_anole_139.jpg,4,Green_anole,1,Brown_anole,0.83076763,0.08259267,0.83076763,0.08259267,0.74817497,0.9133603,True,False,2,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Anolis_carolinensis_10.jpg,Brown_anole_Anolis_carolinensis_10.jpg,1,Brown_anole,4,Green_anole,0.8245636,0.10967074,0.10967074,0.8245636,-0.71489286,0.9342344,True,False,1,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_124.jpg,Green_anole_Green_anole_124.jpg,4,Green_anole,1,Brown_anole,0.81581724,0.08054033,0.81581724,0.08054033,0.73527694,0.89635754,True,False,2,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_110.jpg,Brown_anole_Brown_anole_110.jpg,1,Brown_anole,4,Green_anole,0.81419086,0.05266401,0.05266401,0.81419086,-0.7615268,0.8668549,True,False,1,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_16.jpg,Green_anole_Green_anole_16.jpg,4,Green_anole,1,Brown_anole,0.79088354,0.16849782,0.79088354,0.16849782,0.62238574,0.95938134,True,False,3,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_128.jpg,Brown_anole_Brown_anole_128.jpg,1,Brown_anole,4,Green_anole,0.7781078,0.1461752,0.1461752,0.7781078,-0.6319326,0.924283,True,False,2,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_69.jpg,Brown_anole_Brown_anole_69.jpg,1,Brown_anole,4,Green_anole,0.76605093,0.075798154,0.075798154,0.76605093,-0.6902528,0.8418491,True,False,3,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_111.jpg,Brown_anole_Brown_anole_111.jpg,1,Brown_anole,4,Green_anole,0.75405943,0.13149035,0.13149035,0.75405943,-0.6225691,0.8855498,True,False,2,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_135.jpg,Green_anole_Green_anole_135.jpg,4,Green_anole,1,Brown_anole,0.75295484,0.051616356,0.75295484,0.051616356,0.70133847,0.8045712,True,False,3,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_162.jpg,Green_anole_Green_anole_162.jpg,4,Green_anole,1,Brown_anole,0.73963094,0.14421315,0.73963094,0.14421315,0.5954178,0.8838441,True,False,2,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_62.jpg,Green_anole_Green_anole_62.jpg,4,Green_anole,1,Brown_anole,0.7292196,0.2522537,0.7292196,0.2522537,0.4769659,0.9814733,True,False,2,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_155.jpg,Green_anole_Green_anole_155.jpg,4,Green_anole,1,Brown_anole,0.712095,0.24255809,0.712095,0.24255809,0.46953693,0.95465314,True,False,1,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_99.jpg,Green_anole_Green_anole_99.jpg,4,Green_anole,1,Brown_anole,0.71185243,0.082664326,0.71185243,0.082664326,0.6291881,0.79451674,True,False,2,true_green_pred_brown
