filepath,odd_size_score,is_odd_size_issue,odd_aspect_ratio_score,is_odd_aspect_ratio_issue,low_information_score,is_low_information_issue,light_score,is_light_issue,grayscale_score,is_grayscale_issue,dark_score,is_dark_issue,blurry_score,is_blurry_issue,exact_duplicates_score,is_exact_duplicates_issue,near_duplicates_score,is_near_duplicates_issue
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_10.jpg,0.9285714285714285,False,0.75,False,0.9043681610816832,False,0.8248853838292854,False,1,False,0.8527408169451461,False,0.46476604796882715,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_100.jpg,0.9278675870015937,False,0.7509765625,False,0.9083568960715196,False,0.8992424694167102,False,1,False,0.9769118146380422,False,0.5177159457132275,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_101.jpg,0.6704493405420648,False,1.0,False,0.7965501729689324,False,0.8172517462192865,False,1,False,0.7299477684831783,False,0.7497758659455295,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_102.jpg,0.9285714285714285,False,0.75,False,0.8643800548159878,False,0.8494880197155379,False,1,False,0.8715579478381404,False,0.7104341035220421,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_103.jpg,0.6301017643428435,False,0.8051282051282052,False,0.899678212050361,False,0.7642777424616802,False,1,False,0.9153474789963005,False,0.48415042562940513,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_105.jpg,0.9905452019764944,False,0.66650390625,False,0.8915798136438688,False,0.8056661532746201,False,1,False,0.928422183527005,False,0.46342801227127206,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_106.jpg,0.9285714285714285,False,0.75,False,0.9434486561034222,False,0.8889272192219994,False,1,False,0.976705011627647,False,0.5376044180882251,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_107.jpg,0.9269478222791533,False,0.56298828125,False,0.890021743960655,False,0.9847189598394258,False,1,False,0.8280513693949134,False,0.48879453548108753,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_108.jpg,0.9285714285714285,False,0.75,False,0.9279372468183049,False,0.8733978796156512,False,1,False,0.9818449157975163,False,0.5386576760864289,False,1.0,False,1.0,False
c:/school programs/AI/ML_ENV/AI-Lizard-Prediction-Challenge/train/Black_spiny_tailed_iguana/Black_spiny-tailed_iguana_Black_spiny-tailed_iguana_109.jpg,0.9265414150995837,False,0.5625,False,0.9261487802574364,False,0.9255310741649063,False,1,False,0.9895056960378497,False,0.5621270149143629,False,1.0,False,1.0,False
