filepath,filename,true_label_id,true_label_name,predicted_label_id,predicted_label_name,predicted_confidence,true_label_probability,brown_anole_probability,green_anole_probability,brown_green_probability_gap,brown_green_probability_sum,brown_green_confusion,correct,review_reason
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_178.jpg,Green_anole_Green_anole_178.jpg,4,Green_anole,1,Brown_anole,0.8666594,0.06121168,0.8666594,0.06121168,0.8054477,0.9278711,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_183.jpg,Green_anole_Green_anole_183.jpg,4,Green_anole,1,Brown_anole,0.8625908,0.11844705,0.8625908,0.11844705,0.7441437,0.98103786,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_27.jpg,Green_anole_Green_anole_27.jpg,4,Green_anole,1,Brown_anole,0.82597136,0.12666251,0.82597136,0.12666251,0.6993089,0.95263386,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_135.jpg,Green_anole_Green_anole_135.jpg,4,Green_anole,1,Brown_anole,0.8259672,0.022628704,0.8259672,0.022628704,0.80333847,0.8485959,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_16.jpg,Green_anole_Green_anole_16.jpg,4,Green_anole,1,Brown_anole,0.7740099,0.17357673,0.7740099,0.17357673,0.6004332,0.9475866,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_73.jpg,Green_anole_Green_anole_73.jpg,4,Green_anole,1,Brown_anole,0.7696418,0.21552286,0.7696418,0.21552286,0.554119,0.98516464,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_2.jpg,Green_anole_Green_anole_2.jpg,4,Green_anole,1,Brown_anole,0.7549627,0.10369214,0.7549627,0.10369214,0.65127057,0.8586548,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_159.jpg,Green_anole_Green_anole_159.jpg,4,Green_anole,1,Brown_anole,0.7172789,0.24095917,0.7172789,0.24095917,0.47631973,0.95823807,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_99.jpg,Green_anole_Green_anole_99.jpg,4,Green_anole,1,Brown_anole,0.70204115,0.086158514,0.70204115,0.086158514,0.61588264,0.78819966,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_149.jpg,Green_anole_Green_anole_149.jpg,4,Green_anole,1,Brown_anole,0.6657146,0.1805713,0.6657146,0.1805713,0.4851433,0.84628594,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_104.jpg,Green_anole_Green_anole_104.jpg,4,Green_anole,1,Brown_anole,0.631104,0.1475042,0.631104,0.1475042,0.48359978,0.7786082,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_177.jpg,Brown_anole_Brown_anole_177.jpg,1,Brown_anole,4,Green_anole,0.60152096,0.16096853,0.16096853,0.60152096,-0.4405524,0.7624895,True,False,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_69.jpg,Brown_anole_Brown_anole_69.jpg,1,Brown_anole,4,Green_anole,0.5994582,0.080255866,0.080255866,0.5994582,-0.51920235,0.6797141,True,False,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_180.jpg,Brown_anole_Brown_anole_180.jpg,1,Brown_anole,4,Green_anole,0.4054339,0.1421045,0.1421045,0.4054339,-0.2633294,0.5475384,True,False,true_brown_pred_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Green_anole/Green_anole_Green_anole_189.jpg,Green_anole_Green_anole_189.jpg,4,Green_anole,1,Brown_anole,0.37883425,0.16505516,0.37883425,0.16505516,0.21377909,0.5438894,True,False,true_green_pred_brown
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_207.jpg,Brown_anole_Brown_anole_207.jpg,1,Brown_anole,1,Brown_anole,0.9445485,0.9445485,0.9445485,0.023296095,0.92125237,0.9678446,False,True,true_brown_or_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_120.jpg,Brown_anole_Brown_anole_120.jpg,1,Brown_anole,1,Brown_anole,0.94355834,0.94355834,0.94355834,0.039568722,0.9039896,0.98312706,False,True,true_brown_or_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_150.jpg,Brown_anole_Brown_anole_150.jpg,1,Brown_anole,1,Brown_anole,0.9382286,0.9382286,0.9382286,0.051512584,0.886716,0.9897412,False,True,true_brown_or_green
/kaggle/input/competitions/lizard-prediction-thomas-more/train/Brown_anole/Brown_anole_Brown_anole_40.jpg,Brown_anole_Brown_anole_40.jpg,1,Brown_anole,1,Brown_anole,0.92465794,0.92465794,0.92465794,0.009191098,0.91546685,0.93384904,False,True,true_brown_or_green
